requirement,criterion,req_location,criterion_location,table,source,article,smsci,regime,rt,catalog_id,req_nc,criterion_fail_nc,manual_review,assert_functions,primary_source_versioned
REQ_T1_CONFORMITY_REPORT_SIGNED,T1_CONFORMITY_REPORT_SIGNED,knowledge-base/02_requirements.txt:99,knowledge-base/03_table1.txt:189,1,IN01,,,,RT_007_AVALIACAO_TECNICA,RT-007,NC_T1_003_SIGNED,,True,TECHNICAL_PRODUCT_ATTRIBUTE,yes
REQ_T1_DRT_BASIC_DATA,T1_DRT_RI_LEGAL_ENTITY,knowledge-base/02_requirements.txt:111,knowledge-base/03_table1.txt:115,1,IN01,,,,EACH_REQUIRED_TECHNICAL_RESPONSIBILITY,,NC_T1_006_RI|NC_T1_006_RT|NC_T1_006_ADDRESS|NC_T1_006_AREA,NC_T1_006_RI,False,RESPONSIBILITY_EVIDENCE_MATCHES_PROCESS_RI_LEGAL_ENTITY,yes
REQ_T1_DRT_BASIC_DATA,T1_DRT_RT_NAME,knowledge-base/02_requirements.txt:111,knowledge-base/03_table1.txt:133,1,IN01,,,,EACH_REQUIRED_TECHNICAL_RESPONSIBILITY,,NC_T1_006_RI|NC_T1_006_RT|NC_T1_006_ADDRESS|NC_T1_006_AREA,NC_T1_006_RT,False,RESPONSIBILITY_RT_MATCHES_PRODUCT,yes
REQ_T1_DRT_BASIC_DATA,T1_DRT_ADDRESS,knowledge-base/02_requirements.txt:111,knowledge-base/03_table1.txt:151,1,IN01,,,,EACH_REQUIRED_TECHNICAL_RESPONSIBILITY,,NC_T1_006_RI|NC_T1_006_RT|NC_T1_006_ADDRESS|NC_T1_006_AREA,NC_T1_006_ADDRESS,False,RESPONSIBILITY_EVIDENCE_MATCHES_PROCESS_ATTRIBUTE,yes
REQ_T1_DRT_BASIC_DATA,T1_DRT_AREA,knowledge-base/02_requirements.txt:111,knowledge-base/03_table1.txt:170,1,IN01,,,,EACH_REQUIRED_TECHNICAL_RESPONSIBILITY,,NC_T1_006_RI|NC_T1_006_RT|NC_T1_006_ADDRESS|NC_T1_006_AREA,NC_T1_006_AREA,False,RESPONSIBILITY_EVIDENCE_MATCHES_PROCESS_ATTRIBUTE,yes
REQ_IN07_COMMISSIONING,T4_IN07_COMMISSIONING,knowledge-base/02_requirements.txt:131,knowledge-base/04_table4.txt:74,4,IN07,106,SMSCI_SHP,,RT_014_COMISSIONAMENTO,RT-014,NC_T4_001,NC_T4_001,False,DRT_COVERS|EXISTS,no
REQ_IN08_ESTANQUEIDADE,T4_IN08_ESTANQUEIDADE,knowledge-base/02_requirements.txt:149,knowledge-base/04_table4.txt:104,4,IN08,95,SMSCI_GAS,,RT_006_ENSAIO_TECNICO,RT-006,NC_T4_002,NC_T4_002,False,DRT_COVERS|EXISTS|VALID_WITHIN_YEARS,no
REQ_IN08_MANUAL,T4_IN08_MANUAL,knowledge-base/02_requirements.txt:166,knowledge-base/04_table4.txt:134,4,IN08,80,SMSCI_GAS,,RT_003_EXECUCAO_DE_SISTEMA,RT-003,NC_T4_003,NC_T4_003,False,EXISTS,no
REQ_IN09_DRT,T4_IN09_DRT,knowledge-base/02_requirements.txt:182,knowledge-base/04_table4.txt:158,4,IN09,122,SMSCI_PRESSURIZATION,,RT_003_EXECUCAO_DE_SISTEMA|RT_005_INSPECAO_TECNICA,RT-003|RT-005,NC_T4_004,NC_T4_004,False,HAS_DRT_ACTIVITY,no
REQ_IN09_TEST_REPORT,T4_IN09_TEST_REPORT,knowledge-base/02_requirements.txt:201,knowledge-base/04_table4.txt:186,4,IN09,122,SMSCI_PRESSURIZATION,,RT_006_ENSAIO_TECNICO,RT-006,NC_T4_005,NC_T4_005,False,DRT_COVERS|EXISTS|REPORT_CONTAINS,no
REQ_IN09_MANUAL,T4_IN09_MANUAL,knowledge-base/02_requirements.txt:220,knowledge-base/04_table4.txt:216,4,IN09,122,SMSCI_PRESSURIZATION,,RT_003_EXECUCAO_DE_SISTEMA,RT-003,NC_T4_006,NC_T4_006,False,EXISTS,no
REQ_IN09_CHECKLIST,T4_IN09_CHECKLIST,knowledge-base/02_requirements.txt:234,knowledge-base/04_table4.txt:238,4,IN09,122,SMSCI_PRESSURIZATION,,RT_015_MANUTENCAO,RT-015,NC_T4_007,NC_T4_007,False,EXISTS,no
REQ_IN10_COMMISSIONING,T4_IN10_COMMISSIONING,knowledge-base/02_requirements.txt:252,knowledge-base/04_table4.txt:262,4,IN10,41,SMSCI_SMOKE_CONTROL,,RT_014_COMISSIONAMENTO,RT-014,NC_T4_008,NC_T4_008,False,DRT_COVERS|EXISTS|REPORT_PREPARED_BY_INDEPENDENT_PARTY,no
REQ_IN12_COMMISSIONING,T4_IN12_COMMISSIONING,knowledge-base/02_requirements.txt:271,knowledge-base/04_table4.txt:294,4,IN12,47,SMSCI_SDAI,,RT_014_COMISSIONAMENTO,RT-014,NC_T4_009,NC_T4_009,False,DRT_COVERS|EXISTS,no
REQ_IN15_COMMISSIONING,T4_IN15_COMMISSIONING,knowledge-base/02_requirements.txt:289,knowledge-base/04_table4.txt:335,4,IN15,30,SMSCI_SPRINKLER,,RT_014_COMISSIONAMENTO,RT-014,NC_T4_010,NC_T4_010,False,DRT_COVERS|EXISTS,no
REQ_IN18_CMAR,T4_IN18_CMAR,knowledge-base/02_requirements.txt:307,knowledge-base/04_table4.txt:365,4,IN18,14,SMSCI_CMAR,,RT_007_AVALIACAO_TECNICA,RT-007,NC_T4_011,NC_T4_011,False,EXISTS,no
REQ_IN19_APPLICABILITY_REVIEW,T4_IN19_APPLICABILITY_REVIEW,knowledge-base/02_requirements.txt:325,knowledge-base/04_table4.txt:389,4,IN19,,SMSCI_IN19_APPLICABILITY_REVIEW,,,,,,True,,yes
REQ_IN19_EXECUTION,T4_IN19_EXECUTION,knowledge-base/02_requirements.txt:332,knowledge-base/04_table4.txt:411,4,IN19,,SMSCI_IEL,CURRENT,RT_003_EXECUCAO_DE_SISTEMA,RT-003,NC_T4_012,NC_T4_012,False,EXISTS,yes
REQ_IN19_GROUNDING,T4_IN19_GROUNDING,knowledge-base/02_requirements.txt:345,knowledge-base/04_table4.txt:431,4,IN19,,SMSCI_IEL,CURRENT,RT_003_EXECUCAO_DE_SISTEMA,RT-003,NC_T4_013,NC_T4_013,False,EXISTS,yes
REQ_IN19_FINAL_VERIFICATION,T4_IN19_FINAL_VERIFICATION,knowledge-base/02_requirements.txt:359,knowledge-base/04_table4.txt:451,4,IN19,,SMSCI_IEL,CURRENT,RT_007_AVALIACAO_TECNICA,RT-007,NC_T4_014,NC_T4_014,False,EXISTS,yes
REQ_IN19_LEGACY_DOCUMENTATION,T4_IN19_LEGACY_DOCUMENTATION,knowledge-base/02_requirements.txt:374,knowledge-base/04_table4.txt:473,4,IN19,,SMSCI_IEL,LEGACY,,,,,True,EXISTS,yes
REQ_IN19_REGIME_REVIEW,T4_IN19_REGIME_REVIEW,knowledge-base/02_requirements.txt:385,knowledge-base/04_table4.txt:497,4,IN19,,SMSCI_IEL,UNRESOLVED,,,,,True,,yes
REQ_IN34_EXPLOSION_PROTECTION,T4_IN34_EXPLOSION_PROTECTION,knowledge-base/02_requirements.txt:395,knowledge-base/04_table4.txt:517,4,IN34,,M5_EXPLOSION_PROTECTION,,RT_003_EXECUCAO_DE_SISTEMA,RT-003,NC_T4_016_01,NC_T4_016_01,False,HAS_DRT_ACTIVITY,no
REQ_IN34_DUST_CONTROL,T4_IN34_DUST_CONTROL,knowledge-base/02_requirements.txt:407,knowledge-base/04_table4.txt:535,4,IN34,,M5_DUST_CONTROL,,RT_003_EXECUCAO_DE_SISTEMA,RT-003,NC_T4_016_02,NC_T4_016_02,False,HAS_DRT_ACTIVITY,no
REQ_IN34_HEAT_SENSORS,T4_IN34_HEAT_SENSORS,knowledge-base/02_requirements.txt:419,knowledge-base/04_table4.txt:553,4,IN34,,M5_HEAT_SENSORS,,RT_003_EXECUCAO_DE_SISTEMA,RT-003,NC_T4_016_03,NC_T4_016_03,False,HAS_DRT_ACTIVITY,no
REQ_IN34_LIGHTNING_PROTECTION,T4_IN34_LIGHTNING_PROTECTION,knowledge-base/02_requirements.txt:431,knowledge-base/04_table4.txt:571,4,IN34,,M5_LIGHTNING_PROTECTION,,RT_003_EXECUCAO_DE_SISTEMA,RT-003,NC_T4_016_04,NC_T4_016_04,False,HAS_DRT_ACTIVITY,no
